spectrum_name,start,end
C_2007-06-11_03-51-48,2007-06-10 23:46:00,2007-06-11 00:22:00
C_2007-06-11_04-50-49,2007-06-11 00:45:00,2007-06-11 01:51:06
C_2007-06-12_02-35-45,2007-06-11 22:30:00,2007-06-12 00:36:09
C_2007-06-13_03-01-41,2007-06-12 22:56:00,2007-06-13 00:01:59
C_2007-06-13_04-26-33,2007-06-13 00:21:00,2007-06-13 01:26:49
C_2007-06-13_05-36-24,2007-06-13 01:30:40,2007-06-13 02:36:39
C_2007-06-14_02-50-56,2007-06-13 22:45:00,2007-06-13 23:51:13
C_2007-06-14_04-11-48,2007-06-14 00:06:00,2007-06-14 01:12:05
C_2007-06-14_05-16-43,2007-06-14 01:12:05,2007-06-14 02:16:59
C_2007-06-15_03-04-40,2007-06-14 22:59:00,2007-06-15 00:04:56
C_2007-06-15_04-23-43,2007-06-15 00:18:00,2007-06-15 01:08:58
C_2007-06-15_05-33-38,2007-06-15 01:28:00,2007-06-15 02:33:53
